SampleID,Assay,NPX,pg/mL,Group
S3,MMP10,11.27392,228.49159,Healthy_sample
S3,SNCAIP,0.37787,0.18247,Healthy_sample
S3,TREM2,13.57436,6048.2694,Healthy_sample
S3,Det Ctrl,0.0796,,Healthy_sample
S3,ITGB2,10.83701,40938.50505,Healthy_sample
S3,SMOC1,3.42291,454.68829,Healthy_sample
S3,BACE1,6.46112,582.20048,Healthy_sample
S3,SCG2,5.62175,1007.11635,Healthy_sample
S3,BMP7,4.44418,1666.1769,Healthy_sample
S3,NPTX1,8.38093,8827.1548,Healthy_sample
S3,HLA-DRA,3.36404,697.80456,Healthy_sample
S3,EIF2AK2,2.43223,669.57874,Healthy_sample
S3,LRRK2,-0.21475,244.54653,Healthy_sample
S3,Ext Ctrl,0,,Healthy_sample
S3,SDC4,6.08357,3118.64601,Healthy_sample
S3,NEFL,2.41423,155.27977,Healthy_sample
S3,GDNF,0.39578,,Healthy_sample
S3,CLSTN3,2.4724,179.5385,Healthy_sample
S3,AGER,13.81117,3325.68118,Healthy_sample
S3,TP53,1.74137,0.16264,Healthy_sample
S3,Abeta40,1.25322,1.06661,Healthy_sample
S3,pTau217,0.43587,0.01943,Healthy_sample
S3,GFAP,3.25286,7.35158,Healthy_sample
S3,GLRX,3.04584,19.67442,Healthy_sample
S3,WWOX,0.36192,0.25368,Healthy_sample
S3,RTN4R,3.95673,383.80891,Healthy_sample
S3,Abeta42,4.18225,37.97279,Healthy_sample
S3,NGF,-0.29778,,Healthy_sample
S3,NLGN1,-0.17714,,Healthy_sample
S3,NPTX2,8.69906,6706.06848,Healthy_sample
S3,MOG,9.31957,45.19437,Healthy_sample
S4,VSNL1,3.13125,25.49931,Diseased_sample
S4,OMG,5.50464,67.97561,Diseased_sample
S4,STX1B,4.10366,97.70808,Diseased_sample
S4,NPTXR,11.41039,1282.61556,Diseased_sample
S4,SYT1,3.87522,19.41828,Diseased_sample
S4,ENO2,11.95676,46005.74226,Diseased_sample
S4,Inc Ctrl,-0.09977,,Diseased_sample
S4,TREM1,14.59936,335.53889,Diseased_sample
S4,S100B,0.55821,1.82901,Diseased_sample
S4,DDAH1,6.65726,566.00595,Diseased_sample
S4,KLK8,9.30727,1705.89035,Diseased_sample
S4,FOXO3,4.12412,73.82572,Diseased_sample
S4,DDC,10.5791,1256.50077,Diseased_sample
S4,ITGAM,9.53431,5966.52339,Diseased_sample
S4,MMP10,12.21811,431.3161,Diseased_sample
S4,SNCAIP,1.41047,1.50384,Diseased_sample
S4,TREM2,16.52996,46661.1635,Diseased_sample
S4,Det Ctrl,0.11128,,Diseased_sample
S4,ITGB2,10.58752,35017.72994,Diseased_sample
S4,SMOC1,6.63785,2607.66139,Diseased_sample
S4,BACE1,5.5689,327.40187,Diseased_sample
S4,SCG2,7.82781,4008.36753,Diseased_sample
S4,BMP7,6.31655,5420.59747,Diseased_sample
S4,NPTX1,8.16193,7733.92655,Diseased_sample
S4,HLA-DRA,2.76771,428.69393,Diseased_sample
S4,EIF2AK2,8.65032,37436.37851,Diseased_sample
S4,LRRK2,-0.72868,126.51817,Diseased_sample
S4,Ext Ctrl,0,,Diseased_sample
S4,SDC4,7.55705,8138.64285,Diseased_sample
S4,NEFL,5.64349,1482.78951,Diseased_sample
S4,GDNF,2.45491,0.1575,Diseased_sample
S4,CLSTN3,3.95104,446.90513,Diseased_sample
S4,AGER,13.75076,3183.25807,Diseased_sample
S4,TP53,4.46389,1.49864,Diseased_sample
S4,Abeta40,9.8175,189.47887,Diseased_sample
S4,pTau217,3.48376,0.46601,Diseased_sample
S4,GFAP,5.5789,47.21064,Diseased_sample
S4,GLRX,7.78541,426.3153,Diseased_sample
S4,WWOX,2.90687,11.24673,Diseased_sample
S4,RTN4R,4.92826,690.873,Diseased_sample
S4,Abeta42,5.32605,65.40234,Diseased_sample
S4,NGF,1.37815,1.47746,Diseased_sample
S4,NLGN1,0.35874,6.61433,Diseased_sample
S4,NPTX2,9.61287,12080.08041,Diseased_sample
S4,MOG,10.33594,87.28315,Diseased_sample
S5,VSNL1,3.23742,27.63928,Healthy_pool
S5,OMG,6.29209,106.84792,Healthy_pool
S5,STX1B,5.2991,222.56718,Healthy_pool
S5,NPTXR,11.79929,1690.51742,Healthy_pool
S5,SYT1,3.55795,15.559,Healthy_pool
S5,ENO2,9.32905,7321.64627,Healthy_pool
S5,Inc Ctrl,-0.07882,,Healthy_pool
S5,TREM1,14.30842,270.65477,Healthy_pool
S5,S100B,1.1621,5.17437,Healthy_pool
S5,DDAH1,6.66849,569.87091,Healthy_pool
S5,KLK8,9.49106,1928.31109,Healthy_pool
S5,FOXO3,2.96505,31.57685,Healthy_pool
S5,DDC,10.93743,1565.90213,Healthy_pool
S5,ITGAM,10.00053,8468.24343,Healthy_pool
S5,MMP10,11.57566,279.55526,Healthy_pool
S5,SNCAIP,0.21997,0.0947,Healthy_pool
S5,TREM2,15.09486,16796.67968,Healthy_pool
S5,Det Ctrl,0.01279,,Healthy_pool
S5,ITGB2,11.13322,49362.39216,Healthy_pool
S5,SMOC1,4.83682,1003.46158,Healthy_pool
S5,BACE1,5.85829,395.48916,Healthy_pool
S5,SCG2,6.66199,1917.45972,Healthy_pool
S5,BMP7,5.18129,2692.48867,Healthy_pool
S5,NPTX1,8.004,7033.89011,Healthy_pool
S5,HLA-DRA,2.83523,453.77183,Healthy_pool
S5,EIF2AK2,8.136,27561.72463,Healthy_pool
S5,LRRK2,1.53071,1178.59612,Healthy_pool
S5,Ext Ctrl,0,,Healthy_pool
S5,SDC4,6.86111,5174.12614,Healthy_pool
S5,NEFL,3.10445,275.62542,Healthy_pool
S5,GDNF,1.82083,0.06975,Healthy_pool
S5,CLSTN3,3.83818,418.41883,Healthy_pool
S5,AGER,13.26112,2242.45789,Healthy_pool
S5,TP53,2.3325,0.28626,Healthy_pool
S5,Abeta40,1.54139,1.55237,Healthy_pool
S5,pTau217,1.90373,0.11857,Healthy_pool
S5,GFAP,3.5001,9.19629,Healthy_pool
S5,GLRX,8.17306,550.35768,Healthy_pool
S5,WWOX,0.38477,0.27626,Healthy_pool
S5,RTN4R,4.20679,447.61522,Healthy_pool
S5,Abeta42,3.07802,20.93945,Healthy_pool
S5,NGF,0.16473,0.07077,Healthy_pool
S5,NLGN1,3.7813,538.29731,Healthy_pool
S5,NPTX2,9.2319,9433.60069,Healthy_pool
S5,MOG,9.21499,42.27317,Healthy_pool
S6,VSNL1,3.41728,31.63516,Diseased_sample
S6,OMG,7.49405,207.52717,Diseased_sample
S6,STX1B,4.48755,128.65831,Diseased_sample
S6,NPTXR,11.68014,1552.41935,Diseased_sample
S6,SYT1,3.7114,17.3392,Diseased_sample
S6,ENO2,10.7855,19429.03936,Diseased_sample
S6,Inc Ctrl,-0.11049,,Diseased_sample
S6,TREM1,14.35606,280.30439,Diseased_sample
S6,S100B,0.97548,3.91612,Diseased_sample
S6,DDAH1,6.92823,666.83537,Diseased_sample
S6,KLK8,9.35589,1761.8554,Diseased_sample
S6,FOXO3,3.77654,57.9917,Diseased_sample
S6,DDC,11.48019,2192.5829,Diseased_sample
S6,ITGAM,10.12672,9338.36741,Diseased_sample
S6,MMP10,11.13419,208.19446,Diseased_sample
S6,SNCAIP,1.28816,1.26312,Diseased_sample
S6,TREM2,14.2497,9459.38676,Diseased_sample
S6,Det Ctrl,0.03904,,Diseased_sample
S6,ITGB2,11.29922,54866.26518,Diseased_sample
S6,SMOC1,5.10356,1158.12619,Diseased_sample
S6,BACE1,6.16605,482.28773,Diseased_sample
S6,SCG2,7.06945,2472.00186,Diseased_sample
S6,BMP7,5.79749,3952.89938,Diseased_sample
S6,NPTX1,8.24056,8109.15944,Diseased_sample
S6,HLA-DRA,2.75496,424.09733,Diseased_sample
S6,EIF2AK2,8.67243,37937.99122,Diseased_sample
S6,LRRK2,0.89924,717.04304,Diseased_sample
S6,Ext Ctrl,0,,Diseased_sample
S6,SDC4,6.82345,5049.07684,Diseased_sample
S6,NEFL,3.38803,341.78658,Diseased_sample
S6,GDNF,2.31933,0.13441,Diseased_sample
S6,CLSTN3,4.52693,621.56575,Diseased_sample
S6,AGER,13.16193,2090.72512,Diseased_sample
S6,TP53,2.94806,0.48375,Diseased_sample
S6,Abeta40,0.25523,0.05941,Diseased_sample
S6,pTau217,1.72017,0.09866,Diseased_sample
S6,GFAP,3.79697,11.90432,Diseased_sample
S6,GLRX,9.40958,1312.1132,Diseased_sample
S6,WWOX,1.91014,4.2572,Diseased_sample
S6,RTN4R,4.86546,665.48907,Diseased_sample
S6,Abeta42,2.262,12.51869,Diseased_sample
S6,NGF,0.05815,0.01628,Diseased_sample
S6,NLGN1,1.853,94.45036,Diseased_sample
S6,NPTX2,9.94068,14987.10166,Diseased_sample
S6,MOG,9.22494,42.54259,Diseased_sample
S7,VSNL1,3.64756,37.51156,Healthy_sample
S7,OMG,5.92983,86.98349,Healthy_sample
S7,STX1B,7.65075,935.90389,Healthy_sample
S7,NPTXR,11.38466,1259.65233,Healthy_sample
S7,SYT1,3.39798,13.86205,Healthy_sample
S7,ENO2,10.09941,12141.239,Healthy_sample
S7,Inc Ctrl,-0.12651,,Healthy_sample
S7,TREM1,14.51338,314.81761,Healthy_sample
S7,S100B,0.7029,2.44898,Healthy_sample
S7,DDAH1,5.6317,301.3201,Healthy_sample
S7,KLK8,9.88712,2524.294,Healthy_sample
S7,FOXO3,2.22172,16.63753,Healthy_sample
S7,DDC,11.67131,2471.24376,Healthy_sample
