RIC_Olink_1,RIC_Olink_2,RIC_Olink_3
4.51143,4.35582,5.00165
6.49467,6.36712,6.5792
6.65988,6.33937,6.7515
5.25738,4.71097,5.15856
7.76572,7.49108,8.08857
2.95004,,2.84521
8.33225,7.71832,8.31749
0.06248,0.44642,0.7535
0,0,0
6.93683,6.93819,7.36218
3.68422,3.52636,3.81896
1.4002,,1.3902
3.6399,2.81746,3.20467
12.9476,12.65786,12.93333
2.41323,2.42378,2.22161
,1.83061,1.5431
1.78455,1.7737,2.39443
4.47426,,3.89956
8.14123,7.41931,8.17387
0.14142,0.09899,0.50061
4.64602,4.05245,4.48527
,1.65786,
0.67024,,0.42802
1.18598,1.82241,1.99846
8.8517,8.47163,8.99757
8.78126,8.55002,8.97939
3.5946,3.02766,
6.27263,5.51983,
4.11654,3.48997,
11.89834,11.46926,
3.54201,3.30356,
9.33536,8.57125,
-0.10122,-0.02649,
14.21217,13.73708,
1.40177,1.39848,
6.26817,5.82836,
9.50377,9.04386,
2.74077,2.20041,
11.1828,10.72271,
10.1283,9.71685,
11.39068,10.87067,
2.64116,2.54508,
15.10912,14.54236,
0.04308,0.01295,
10.93192,10.58442,
4.73615,4.21452,
6.59818,6.35932,
6.68495,6.3518,
5.16921,5.02488,
8.03632,7.57311,
2.6223,,
8.08903,7.77342,
-0.09226,-0.39915,
0,0,
7.09919,6.85366,
3.99041,3.44419,
1.18122,,
3.91052,3.41432,
12.93426,12.65855,
2.77004,1.78719,
,2.11301,
2.44653,1.64459,
4.01389,,
7.98854,7.32154,
0.29526,0.07554,
4.46388,3.97241,
,1.63015,
0.29514,,
1.13874,1.74034,
8.83963,8.40312,
8.83747,8.52835,
3.49387,3.06713,
6.39534,5.62425,
4.29785,3.72576,
12.03382,11.45799,
3.78042,3.30243,
9.17972,8.70925,
0.0076,0.01427,
14.2601,13.60255,
1.05312,1.04177,
6.77085,5.76296,
9.38045,9.02687,
2.75801,2.69043,
11.27971,10.65852,
10.16209,9.63462,
11.36812,10.80196,
2.49019,1.44022,
15.21967,14.36887,
-0.10201,-0.11975,
10.7461,10.49725,
4.58036,4.25427,
6.73293,6.31558,
6.65071,6.18901,
5.39623,4.86454,
7.84299,7.43839,
2.73142,,
8.29184,7.68915,
0.84912,-1.95241,
0,0,
6.91593,6.8363,
3.83201,3.72325,
0.79455,,
3.96634,2.90316,
12.88727,12.56526,
2.72601,2.21717,
,1.9058,
1.95046,1.42651,
4.27813,,
7.99037,7.32332,
-0.01083,0.31871,
4.52147,3.84222,
,1.22047,
0.22472,,
1.91711,1.31248,
8.80865,8.30478,
8.71317,8.40101,
3.56949,2.95741,2.68743
6.28203,5.75221,5.17917
4.02225,3.67591,3.34209
11.92294,11.42964,11.02271
3.77611,3.32089,2.93993
9.20416,8.77683,8.09699
-0.16791,-0.01366,0.10221
14.22803,13.75366,13.41514
0.71718,1.02618,1.58066
6.60415,5.9284,5.54747
9.37914,9.098,8.60963
3.21425,2.92552,1.93031
11.23423,10.75561,10.33666
10.10447,9.6997,9.53937
11.36049,10.88393,10.56032
2.31288,1.60982,2.05457
15.19517,14.50199,14.39077
-0.07466,0.03027,0.04216
10.8226,10.60672,10.24256
4.69784,4.12717,3.88406
6.52179,6.28621,5.56222
6.78303,6.27529,6.11757
5.46851,4.8319,4.59062
8.00026,7.47869,7.49752
3.04572,,2.24476
8.32054,7.85882,7.35778
0.50955,0.35602,-1.26644
0,0,0
7.17604,6.80796,6.68364
3.74354,3.62753,2.9533
1.18829,,0.69241
3.95994,3.53526,2.84753
12.97315,12.70465,12.2784
2.05228,2.27128,1.64038
,2.0244,2.29203
1.89281,2.36413,2.17268
4.06455,,2.90897
8.11192,7.36571,7.22109
0.44156,0.3108,0.3132
4.61008,4.03005,3.6237
,1.24401,
0.81478,,0.15292
2.13266,1.54127,1.51323
9.02928,8.5353,8.26528
9.00887,8.70023,8.2785
3.5854,3.08997,2.34095
5.97935,5.76902,4.78473
4.12742,3.44513,3.36926
11.90912,11.51952,10.45822
3.65141,3.43688,2.51864
9.07331,8.85331,7.68821
-0.03471,-0.04977,0.13157
14.11534,13.86678,12.8777
1.55961,0.40842,-0.58191
6.61824,5.94369,4.93395
9.29195,9.1454,8.16375
2.7725,2.77993,2.39668
11.27554,10.92928,9.79577
10.09022,9.75298,9.26995
11.29312,10.91152,10.07515
1.79849,1.04323,2.44235
15.26774,14.64249,13.90119
-0.02475,-0.02051,0.06477
10.91705,10.65478,9.89086
5.05648,4.33042,3.59783
5.8256,6.47195,5.14662
6.54761,6.3477,5.67451
4.95032,5.02349,4.04981
7.93178,7.69832,7.03178
3.12047,,1.53862
8.22795,7.81734,7.01813
0.5332,-0.88906,-1.59028
0,0,0
7.02588,6.95153,6.22008
3.60903,3.82539,2.35865
1.13735,,0.53493
3.3465,3.56127,2.57164
12.99869,12.76546,11.79058
2.3557,2.15642,1.62616
,1.92921,0.88223
1.97811,1.69921,1.6254
4.45538,,2.91411
8.14919,7.54624,6.86095
0.3457,0.27187,-0.08485
4.47872,4.11263,3.34164
,1.73165,
0.60871,,-0.56818
1.78408,0.83775,0.4192
9.04045,8.62512,7.67206
9.09256,8.69372,7.72082
3.45032,3.21513,2.62942
6.16808,5.84256,5.17772
4.48174,3.50612,3.63209
11.86874,11.65484,10.92569
3.43443,3.52732,3.05071
9.07651,8.93661,8.04801
-0.16282,-0.05297,0.03858
14.2047,13.99222,13.30704
1.09715,0.57289,1.45939
6.54297,6.12921,5.44959
9.34558,9.40252,8.58939
3.28714,2.93973,2.40244
11.31936,11.01939,10.21086
10.12264,9.81806,9.61814
11.37828,11.1283,10.52292
1.74902,2.1652,1.39395
15.315,14.77405,14.41741
-0.03668,0.01794,0.06505
10.75632,10.85699,10.17815
4.6292,4.63651,3.83352
6.55297,6.55581,5.43787
6.68358,6.48303,6.05094
5.15277,5.2256,3.86174
7.93836,7.77222,7.42372
2.90472,,2.08364
8.3896,7.94879,7.39579
0.35427,0.20316,0.29444
0,0,0
7.11195,7.18254,6.68147
3.25151,3.8205,2.98459
1.14067,,0.59478
3.33231,3.63308,2.61262
13.02302,12.93317,12.31691
2.69832,2.45717,1.81541
,2.22529,1.91181
1.7313,2.37453,1.96871
3.95228,,3.76216
7.91696,7.54797,7.39223
0.30663,0.02537,0.33551
4.68459,4.20271,3.85336
,1.9483,
0.51383,,-0.52998
0.56109,1.84696,0.5924
9.04576,8.79201,8.16193
8.84199,8.90656,8.19435
3.47351,2.99904,2.48327
6.14916,5.6071,4.96919
4.27676,3.43259,3.31773
11.98335,11.46188,10.70542
3.79547,3.36224,2.72438
9.23034,8.6332,7.94368
-0.12571,0.04475,0.03015
14.31614,13.78897,13.07165
1.52508,0.67678,1.46482
6.74182,5.96124,5.34152
9.38994,9.12559,8.34247
2.26121,2.39269,2.38053
11.31902,10.74638,10.01689
10.20573,9.72826,9.45888
