SampleID,Assay,NPX_Run1,NPX_Run2,NPX_Run3,pg/mL_Run1,pg/mL_Run2,pg/mL_Run3
Sample_2,AGER,12.90656,12.84001,12.96357,1747.92508,1668.72144,1818.93154
Sample_2,TP53,2.2289,1.82793,2.75682,0.26059,0.17755,0.41325
Sample_2,Abeta40,,2.2342,2.56422,,3.17251,4.20907
Sample_2,pTau217,2.64044,2.20864,2.06252,0.23331,0.15857,0.13824
Sample_2,GFAP,4.08655,,4.22793,15.16386,,17.013
Sample_2,GLRX,8.03546,7.4871,8.28842,502.30396,351.58262,594.56672
Sample_2,WWOX,0.0699,0.25129,0.40879,0.0312,0.15542,0.30088
Sample_2,RTN4R,4.60819,4.01966,4.48733,570.58806,399.04661,530.59707
Sample_2,Abeta42,,4.00302,,,34.67293,
Sample_2,NGF,0.49658,,0.35153,0.29554,,0.18498
Sample_2,NLGN1,1.56296,2.16454,2.09403,66.62766,132.38853,122.9957
Sample_2,NPTX2,8.97707,8.6759,9.05602,8008.50466,6607.94632,8424.30092
Sample_2,MOG,8.93526,8.72246,9.04187,35.3794,30.91787,37.85878
Sample_3,VSNL1,3.33313,3.12673,3.52991,29.70508,25.41149,34.39584
Sample_3,OMG,6.01659,5.75187,6.05968,91.40584,78.51338,93.67761
Sample_3,STX1B,3.4061,3.62348,3.86313,57.17308,67.95466,81.69548
Sample_3,NPTXR,11.78361,11.52896,11.70097,1671.60793,1394.42792,1575.65096
Sample_3,SYT1,3.53158,3.57729,3.6741,15.26844,15.7749,16.89204
Sample_3,ENO2,8.98145,8.77967,9.31403,5862.75562,5160.40136,7251.18921
Sample_3,Inc Ctrl,-0.21739,-0.05093,-0.14429,,,
Sample_3,TREM1,14.1065,13.95473,14.14484,233.46018,209.04826,240.08726
Sample_3,S100B,0.71844,1.2286,1.60898,2.5218,5.67795,9.1898
Sample_3,DDAH1,6.54146,5.92915,6.42343,527.58709,362.57091,491.02398
Sample_3,KLK8,9.31769,9.28851,9.46504,1717.71306,1684.81241,1894.97776
Sample_3,FOXO3,2.86799,2.66377,3.00712,29.20356,24.65703,32.65073
Sample_3,DDC,11.24262,11.0145,11.21352,1891.18225,1642.14963,1857.34815
Sample_3,ITGAM,10.12905,9.81202,10.08958,9355.34353,7335.51247,9072.05368
Sample_3,MMP10,11.26896,11.0918,11.40107,227.73698,202.41031,248.72552
Sample_3,SNCAIP,1.88991,2.07328,1.39808,2.74229,3.36116,1.4782
Sample_3,TREM2,15.20448,14.70788,15.49608,18119.61327,12885.27474,22205.46319
Sample_3,Det Ctrl,-0.09903,-0.00238,-0.06819,,,
Sample_3,ITGB2,10.75585,10.73795,10.79653,38904.92997,38470.76123,39910.54423
Sample_3,SMOC1,5.03503,4.51955,5.10084,1116.38123,844.60175,1156.44186
Sample_3,BACE1,6.35453,6.66651,6.51531,544.02588,663.12149,602.57823
Sample_3,SCG2,6.65295,6.40495,6.74541,1906.7334,1635.26259,2019.40789
Sample_3,BMP7,5.14266,5.09922,5.17478,2627.28264,2555.65794,2681.38989
Sample_3,NPTX1,7.85514,7.66329,8.19191,6434.08853,5737.87181,7874.80208
Sample_3,HLA-DRA,2.77084,,2.74827,429.83019,,421.70104
Sample_3,EIF2AK2,8.37,7.92668,8.38294,31658.0542,24369.95105,31902.643
Sample_3,LRRK2,-0.33278,0.1683,-1.0658,212.97531,368.37659,73.36971
Sample_3,Ext Ctrl,0,0,0,,,
Sample_3,SDC4,7.02082,7.03116,7.19542,5739.8407,5778.56424,6429.80335
Sample_3,NEFL,3.664,3.63644,3.82995,417.63686,409.50699,469.38515
Sample_3,GDNF,1.10601,,1.46193,0.01794,,0.03889
Sample_3,CLSTN3,4.10236,3.68854,3.60894,487.83443,383.14934,365.48268
Sample_3,AGER,12.85078,12.90858,12.9021,1681.28404,1750.39425,1742.49955
Sample_3,TP53,2.1246,2.10056,2.38753,0.2366,0.23132,0.30069
Sample_3,Abeta40,,3.1845,2.58593,,6.72658,4.28407
Sample_3,pTau217,2.14229,2.07576,2.48781,0.14906,0.13999,0.20415
Sample_3,GFAP,4.21936,,3.70273,16.89566,,10.98068
Sample_3,GLRX,7.98297,7.56096,8.24304,485.20228,368.66879,576.72232
Sample_3,WWOX,0.52054,0.34366,0.43819,0.42751,0.23619,0.33225
Sample_3,RTN4R,4.54112,4.21162,4.58804,548.05911,448.93663,563.73001
Sample_3,Abeta42,,2.33843,,,13.1862,
Sample_3,NGF,0.26631,,0.39653,0.12914,,0.21714
Sample_3,NLGN1,1.07235,2.22341,1.76005,32.94881,140.61764,84.80668
Sample_3,NPTX2,8.94463,8.75615,9.10005,7843.87813,6954.39912,8665.92166
Sample_3,MOG,8.76964,8.88769,9.04965,31.85445,34.32767,38.0465
Sample_4,VSNL1,3.21782,3.30677,,27.23243,29.12271,
Sample_4,OMG,6.00633,5.67613,,90.87201,75.1399,
Sample_4,STX1B,3.97154,3.42362,,88.61946,57.98735,
Sample_4,NPTXR,11.79982,11.6024,,1691.15863,1468.89487,
Sample_4,SYT1,3.53998,3.59009,,15.36054,15.91909,
Sample_4,ENO2,9.02506,8.9253,,6027.44216,5657.66935,
Sample_4,Inc Ctrl,-0.15859,-0.02388,,,,
Sample_4,TREM1,14.11852,13.92946,,235.51698,205.24967,
Sample_4,S100B,0.92535,0.59396,,3.61481,1.97269,
Sample_4,DDAH1,6.36177,5.98982,,472.9049,376.41811,
Sample_4,KLK8,9.23546,9.27948,,1626.73496,1674.76306,
Sample_4,FOXO3,2.83744,2.14394,,28.48595,15.45308,
Sample_4,DDC,11.13633,10.89742,,1770.61113,1527.77162,
Sample_4,ITGAM,10.09425,9.80513,,9105.03503,7297.49134,
Sample_4,MMP10,11.26646,11.01874,,227.35758,192.82455,
Sample_4,SNCAIP,1.76,2.03352,,2.35579,3.21928,
Sample_4,TREM2,15.12715,14.70583,,17175.35374,12867.40955,
Sample_4,Det Ctrl,-0.13281,-0.03712,,,,
Sample_4,ITGB2,10.61469,10.67991,,35616.67426,37097.99893,
Sample_4,SMOC1,4.55744,4.52239,,862.27322,845.91565,
Sample_4,BACE1,6.25355,6.52731,,510.06998,607.18275,
Sample_4,SCG2,6.58132,6.42352,,1823.89914,1654.15913,
Sample_4,BMP7,5.10906,4.93584,,2571.72765,2301.64286,
Sample_4,NPTX1,7.86135,7.69533,,6458.0346,5848.53073,
Sample_4,HLA-DRA,2.61642,,,376.76217,,
Sample_4,EIF2AK2,8.12762,7.83557,,27425.83327,23103.63674,
Sample_4,LRRK2,-1.39176,0.85764,,36.96547,692.46502,
Sample_4,Ext Ctrl,0,0,,,,
Sample_4,SDC4,6.97925,7.10148,,5586.88924,6048.80327,
Sample_4,NEFL,3.15013,3.6508,,285.54253,413.72806,
Sample_4,GDNF,0.97983,,,0.01235,,
Sample_4,CLSTN3,2.88581,3.26153,,234.67649,296.43751,
Sample_4,AGER,12.87949,12.95109,,1715.24066,1803.1358,
Sample_4,TP53,2.65186,2.46582,,0.37829,0.3222,
Sample_4,Abeta40,,2.34429,,,3.49733,
Sample_4,pTau217,1.44225,2.08668,,0.07354,0.14145,
Sample_4,GFAP,4.25433,,,17.37879,,
Sample_4,GLRX,7.95623,7.58724,,476.73715,374.96183,
Sample_4,WWOX,-0.05331,0.02926,,,0.00417,
